STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Funding,00S-General Fund,"-3,577,838","-4,338,889","-4,249,582","-4,364,387"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Position,FTE1-Permanent Classified,35,35,35,35
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,010-Personal Services-Perm. Classi,"1,199,797","1,678,123","1,957,453","2,011,830"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,018-Overtime,"1,700",200,200,200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,020-Current Expenses,"1,535","1,565","2,178","2,178"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,022-Rents-Leases Other Than State,"1,319","1,979","1,979","1,979"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,030-Equipment New/Replacement,"113,868",0,"8,301","8,301"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,039-Telecommunications,"4,529","4,659","3,761","3,761"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,049-Transfer to Other State Agenci,"29,179","31,258","37,148","39,333"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,"057-Books, Periodicals, Subscripti","13,718","5,000","5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,060-Benefits,"695,311","1,052,173","1,157,276","1,210,829"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,070-In-State Travel Reimbursement,"1,547","1,547","3,042","3,042"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,101-Medical Payments to Providers,"5,620,932","4,992,407","7,496,107","7,720,990"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Expense,103-Contracts for Op Services,180,180,184,184
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Funding,00S-General Fund,"-7,683,615","-7,769,091","-10,672,629","-11,007,627"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82310000-MENTAL HEALTH,Position,FTE1-Permanent Classified,25,25,24,24
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,010-Personal Services-Perm. Classi,"4,117,696","4,575,402","4,741,650","4,843,882"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,011-Personal Services-Unclassified,"85,378",0,"263,534","263,534"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,012-Personal Services-Unclassified,"129,081","126,111",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,018-Overtime,"614,680","117,149","117,149","117,149"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,019-Holiday Pay,"70,920","71,984","73,136","74,233"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,020-Current Expenses,"210,580","216,056","261,499","261,499"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,022-Rents-Leases Other Than State,"4,815","4,676","6,104","6,104"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,030-Equipment New/Replacement,"142,594","95,887","51,721","39,187"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,039-Telecommunications,"25,736","25,736","29,286","29,286"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,050-Personal Service-Temp/Appointe,"55,729","99,755","99,317","99,317"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,"057-Books, Periodicals, Subscripti",199,199,199,199
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,060-Benefits,"2,739,510","3,001,095","3,089,174","3,221,335"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,070-In-State Travel Reimbursement,"6,051","6,051","6,127","6,127"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,101-Medical Payments to Providers,"7,121,628","5,528,872","8,297,854","8,012,883"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,102-Contracts for program services,"16,947","17,225","17,940","18,395"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,103-Contracts for Op Services,"4,868","4,868","4,965","4,965"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Expense,230-Interpreter Services,828,828,"5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Funding,00S-General Fund,"-15,347,240","-13,891,894","-17,064,655","-17,003,095"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Position,FTE1-Permanent Classified,59,59,61,61
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82340000-MEDICAL-DENTAL,Position,FTE2-Unclassified Positions,2,2,2,2
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,010-Personal Services-Perm. Classi,"1,460,433","1,757,057","1,768,292","1,793,308"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,017-FT Employees Special Payments,0,"5,021",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,018-Overtime,"340,986","143,765","143,765","143,765"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,019-Holiday Pay,"29,212","29,650","30,125","30,576"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,020-Current Expenses,"16,920","17,259","14,786","14,786"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,030-Equipment New/Replacement,"1,638",0,"2,614","2,614"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,039-Telecommunications,"6,165","6,165","7,010","7,010"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,060-Benefits,"1,066,310","1,265,885","1,145,031","1,190,625"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,070-In-State Travel Reimbursement,"2,093","2,093","2,093","2,093"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Expense,103-Contracts for Op Services,900,900,918,918
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Funding,00S-General Fund,"-2,924,657","-3,227,795","-3,114,634","-3,185,695"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82350000-RESIDENTIAL TREATMENT PROGRAM,Position,FTE1-Permanent Classified,25,25,25,25
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,010-Personal Services-Perm. Classi,"420,207","203,659","205,898","211,139"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,011-Personal Services-Unclassified,"402,973","423,466","704,936","704,936"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,018-Overtime,154,"4,169",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,019-Holiday Pay,0,102,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,020-Current Expenses,"28,403","31,208","35,086","35,086"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,024-Maint.Other Than Build.- Grnds,"4,707","4,707","41,040","41,040"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,030-Equipment New/Replacement,"3,653","22,300","232,292","225,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,039-Telecommunications,"3,085","3,333","3,724","3,724"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,060-Benefits,"345,551","324,502","405,810","421,453"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,070-In-State Travel Reimbursement,282,282,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,100-Prescription Drug Expenses,"2,882,944","2,956,118","3,331,813","3,501,736"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Expense,103-Contracts for Op Services,460,460,469,469
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Funding,00S-General Fund,"-4,092,419","-3,974,306","-4,961,068","-5,144,583"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Position,FTE1-Permanent Classified,5,5,5,5
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,82360000-PHARMACY,Position,FTE2-Unclassified Positions,5,5,5,5
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,010-Personal Services-Perm. Classi,"178,903","192,902","183,632","187,487"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,011-Personal Services-Unclassified,"154,019","183,808","182,310","187,516"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,018-Overtime,0,0,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,020-Current Expenses,"3,538","3,276","3,500","3,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,022-Rents-Leases Other Than State,"1,322","3,928","1,979","1,979"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,026-Organizational Dues,375,450,450,450
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,027-Transfers To Oit,"14,295","3,458","17,072","15,724"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,039-Telecommunications,"6,233","7,018","4,171","4,171"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,050-Personal Service-Temp/Appointe,"100,410","104,032","105,832","105,832"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,060-Benefits,"186,869","227,157","229,871","241,297"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,070-In-State Travel Reimbursement,"8,422","12,762","15,000","15,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,080-Out-Of State Travel,"1,813","3,000","4,000","4,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,103-Contracts for Op Services,296,316,362,362
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Expense,230-Interpreter Services,0,0,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Funding,00S-General Fund,"-656,495","-742,107","-749,679","-768,818"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Position,FTE1-Permanent Classified,4,4,4,4
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRB469510-PAROLE BOARD,010-General Fund,65320000-PAROLE BOARD,Position,FTE2-Unclassified Positions,2,2,2,2
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,010-Personal Services-Perm. Classi,"1,199,424","1,551,518","1,393,654","1,426,790"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,011-Personal Services-Unclassified,"110,361","108,108","111,732","111,732"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,018-Overtime,"23,149","23,149","23,149","23,149"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,019-Holiday Pay,"3,917","3,976","4,039","4,100"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,020-Current Expenses,"19,048","19,418","21,997","21,997"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,022-Rents-Leases Other Than State,"1,641","1,524","1,440","1,440"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,030-Equipment New/Replacement,673,"2,952","16,805",0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,039-Telecommunications,"13,374","13,374","14,551","14,551"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,050-Personal Service-Temp/Appointe,"126,406","148,484","182,560","182,560"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,"057-Books, Periodicals, Subscripti",0,398,398,398
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,060-Benefits,"1,033,336","1,148,904","1,063,219","1,117,503"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,070-In-State Travel Reimbursement,"18,466","19,898","19,094","19,094"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,080-Out-Of State Travel,493,100,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,102-Contracts for program services,"5,500","15,774","8,274","8,274"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Expense,103-Contracts for Op Services,489,489,499,499
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Funding,00S-General Fund,"-2,556,277","-3,058,066","-2,861,511","-2,932,187"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Position,FTE1-Permanent Classified,19,19,19,19
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRF462510-PROFESSIONAL STANDARDS,010-General Fund,59290000-PROFESSIONAL STANDARDS,Position,FTE2-Unclassified Positions,1,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,PRI463510-STATE PRISONS,010-General Fund,33720000-NH STATE PRISON FOR MEN,Expense,010-Personal Services-Perm. Classi,"11,397,502","15,621,955","14,273,977","14,560,549"
